ID,Name,Description,Allergens,Protein (g),Fat (g),Carbs (g),Energy (kcal),Image URL,Category
177,Çiyələkli çizkeyk,"Şəkər xəmiri üzərində yumşaq qaymaqlı pendir, çiyələkli içlik ilə.","Süd, Soya, Qlüten, Yumurta.",3,12,27,241,https://mcdonalds.az/images/2602fdd1650f966d7478b9177d085485.jpg,McCafe
178,Amerika sayağı çizkeyk,Şəkər xəmiri üzərində yumşaq qaymaqlı pendir.,"Araxis, Fındıq, Süd, Soya, Yumurta.",8,26,29,394,https://mcdonalds.az/images/3aeff50dc69aa9a18534e8ebb432d118.jpg,McCafe
179,Makaroni,Ətirləndirilmiş Qanaş kremi ilə doldurulmuş rəngarəng Makaronilərin xırçıldayan və çeynənən qarışığı.,,,,,,https://mcdonalds.az/images/7def0cd40a309014b054d52e6372b10a.jpg,Other
180,Alma piroqu,"Şəkər xəmiri əsaslı un məmulatı, almalı içlik ilə.","Süd, Soya, Qlüten, Yumurta.",4,14,45,329,https://mcdonalds.az/images/c720fdce8cc175a0113de2861f7b7b7b.jpg,McCafe
181,Şokoladlı peçenye,"İncə şəkərli peçenye, qara, tünd və qarışıq şokolad dənəcikləri ilə.","Süd, Qlüten,Yumurta.",5,18,58,438,https://mcdonalds.az/images/fe20c51767f098518b172c4bccc4f527.jpg,McCafe
182,Kruassan,Lay-lay xəmirdən yüngül un məmulatı.,"Süd, Qlüten, Yumurta.",8,17,36,290,https://mcdonalds.az/images/d92ed889bfba454db627a340e6c52d96.jpg,McCafe
183,Pendirli kruassan,"Lay-lay xəmirdən, pendirli yüngül un məmulatı.","Süd, Qlüten, Yumurta.",9,16,31,301,https://mcdonalds.az/images/5342e3a5d74503ec7b47d03ff5387575.jpg,McCafe
184,Vanil krem ilə donat,Vanil içliklə zərif donat.,"Süd, Qlüten.",5,25,40,412,https://mcdonalds.az/images/2d3b8d7184b8387a4e92b77644e27fae.jpg,McCafe
185,Qrand Çiz (ət),"Qrand Çiz burgerin tərkibi: küncütlü brioş bulka, 100% mal ətindən döyülmüş bifşteks, Emmental & Cheddar pendirləri, aysberq salatı, qızardılmış soğan və pendir sous.",,,,,,https://mcdonalds.az/images/88f2dbc6c139a1adcb631e6659b81891.png,Other
186,Qrand Çiz (toyuq),"Qrand Çiz burgerin tərkibi: küncütlü brioş bulka, toyuq filesi, Emmental & Cheddar pendirləri, aysberq salatı, qızardılmış soğan və pendir sous.",,,,,,https://mcdonalds.az/images/7542c3e522cf064f8fe6a3645530c374.png,Other
187,Çiz Delüks mini,"Çiz Delüks mini burgerin tərkibi: karamelləşdirilmiş bulka, 100% mal ətindən döyülmüş bifşteks, pendir kotletı, soğan, duzlu xiyar dilimləri və xüsüsi sous.Çiz Delüks mini burgerin tərkibi: karamelləşdirilmiş bulka, 100% mal ətindən döyülmüş bifşteks, pendir kotletı, soğan, duzlu xiyar dilimləri və xüsüsi sous.",,,,,,https://mcdonalds.az/images/677ced053957252376ce037a7ba88306.png,Other
188,Bif Freş,"Karamelləşdirilmiş küncütlü bulkanın arasında 100% mal ətindən döyülmüş bifşteks, 1 ədəd Çedder pendirinin dilimi, xüsusi sousu, təzə soğan, təzə Aysberq salatı, xıyar və pomidor dilimləri.","Xardal, Süd, Kərəviz, Yumurta, Qlüten, Küncüt tumları.",,,,,https://mcdonalds.az/images/36e04d7fca426a5e7a4ad922a0041f8e.png,Main
189,Çiken Freş,"Karamelləşdirilmiş bulkanın arasında suxarıya batırılmış, qızardılmış toyuq kotleti, təzə Aysberq salatı, xüsusi sousu, pomidor dilimi və xıyar.","Xardal, Süd, Kərəviz, Yumurta, Qlüten, Küncüt tumları.",,,,,https://mcdonalds.az/images/afa4b44cdad58e8e48e825e682dd5bae.png,Main
190,Fiş Freş,"Yumşaq bulkanın arasında qızardılmış balıq filesi, təzə Aysberq salatı, xüsusi sousu və pomidor dilimi.","Xardal, Süd, Soya, Yumurta, Qlüten, Balıq.",,,,,https://mcdonalds.az/images/50ef4c34b8e6389e1055bdcf9c74a823.png,Main
191,Fiş Bayts                                                                 (10 əd.),Qızardılmış xırçıldayan balıq filesinin dilimləri (xordalılar sinfi).,,,,,,https://mcdonalds.az/images/7ae62dd8d9247b92bf6dd0bca0dae6bc.png,Other
192,Habanero bif,"Habanero burgerin tərkibi: küncütlü brioş bulka, 100% mal ətindən döyülmüş bifşteks, emmental pendirinin dilimi, aysberq salatı, qızardılmış soğan, təzə pomidor dilimi və habanero sous.",,,,,,https://mcdonalds.az/images/2ecc4f4df6507ef71ee326d0f440333e.png,Other
193,Habanero çiken,"Habanero burgerin tərkibi: küncütlü brioş bulka, toyuq filesi, emmental pendirinin dilimi, aysberq salatı, qızardılmış soğan, təzə pomidor dilimi və habanero sous.",,,,,,https://mcdonalds.az/images/e00c85df4205150c1c291c06365edbd3.png,Other
194,Dabl Çikenburger,Təzə kahı və xüsusi McChicken™ sousu ilə dadlandırılmış və karamelli bulkada verilən suxarıya batırılmış qızardılmış toyuq kotleti.,"Xardal, Yumurta, Qlüten.",24,32,82,720,https://mcdonalds.az/images/9aa2f9fa20aae642106f6803d08ca386.png,Main
195,Dabl Big Tasty™ (Ət),"Həcmli küncütlü bulka arasında 2 ədəd böyük, 100% mal ətindən döyülmüş bifşteks olan burger. Üç dilim Emmental pendiri, iki dilim təzə pomidor, Aysberq salatı, təzə soğan və “Qril” sousu ona xüsusi dad verir.","Süd, Yumurta, Qlüten, Küncüt tumları.",76,30,50,1114,https://mcdonalds.az/images/7a4aa9c08a443a3940070f6f49b3e0af.png,Main
